condition,image_id,G_actual,G_neutral,Delta_G,cosine_sim
A,9386,0.00046448057400994003,0.0013207277515903115,-0.0008562471775803715,0.9996171593666077
A,9622,0.0008886906434781849,1.4964140063966624e-05,0.0008737265034142183,0.9880390763282776
A,9479,2.1142697733012028e-05,9.739116649143398e-06,1.140358108386863e-05,0.9999855756759644
A,9488,0.0020383584778755903,1.811938687978909e-07,0.0020381772840067924,0.7108330726623535
A,9603,2.0704896087408997e-05,2.9593502404168248e-05,-8.888606316759251e-06,0.9993368983268738
A,9771,2.305467933183536e-05,5.280239292915212e-06,1.7774440038920147e-05,0.9977856278419495
A,9726,3.2401069347542943e-06,4.022007487947121e-05,-3.697996794471692e-05,0.9976359605789185
A,9822,2.7083311579190195e-05,0.0005288145621307194,-0.0005017312505515292,0.9946780800819397
A,9682,1.6601879337940773e-07,8.652636097394861e-06,-8.486617304015454e-06,0.7761564254760742
A,9967,4.1559087549103424e-05,2.2853250811749604e-06,3.9273762467928464e-05,0.9848186373710632
A,9917,0.00011378300405340269,1.620278817426879e-05,9.75802158791339e-05,0.9952983856201172
A,9858,5.94050288782455e-05,0.0005791486473754048,-0.0005197436184971593,0.9986737966537476
A,9904,1.6470507091526088e-07,1.8652703147381544e-05,-1.8487998076466283e-05,0.536198616027832
A,10055,0.0007414513966068625,4.670297585107619e-06,0.0007367810990217549,0.9895464181900024
A,10030,8.238326699938625e-06,5.452765617519617e-05,-4.6289329475257546e-05,0.998401403427124
A,10087,0.0005948776961304247,3.7404555769171566e-05,0.0005574731403612532,0.9998434782028198
A,10052,1.6257797597063472e-07,5.4724487199564464e-06,-5.309870743985812e-06,0.7385057806968689
A,10134,4.9664424295770004e-05,0.0008248589001595974,-0.0007751944758638274,0.9957321882247925
A,10244,2.2970223767515563e-07,1.684625203779433e-05,-1.6616549800119174e-05,0.5710005760192871
A,10203,2.0339573893579654e-05,4.6061741159064695e-06,1.5733399777673185e-05,0.997595489025116
A,10305,5.42861062058364e-06,0.0002666907384991646,-0.00026126212787858094,0.9859898090362549
A,10321,4.1375001273991074e-06,0.0001489199057687074,-0.0001447824056413083,0.9820281267166138
A,10332,5.22699224347889e-07,2.1729167201556265e-05,-2.1206467977208376e-05,0.7483038306236267
A,10333,0.00023382708604913205,0.00011623139289440587,0.00011759569315472618,0.9998871088027954
A,10360,0.00021434905647765845,0.0011627114145085216,-0.0009483623580308631,0.9986495971679688
A,10392,0.0012001106515526772,5.331972715794109e-06,0.001194778678836883,0.9977514743804932
A,10389,8.070690819295123e-05,0.00021880274289287627,-0.00013809583469992504,0.9998356103897095
A,10409,4.470034582482185e-06,0.00013651626068167388,-0.0001320462260991917,0.9925458431243896
A,10414,3.202106381650083e-05,0.00285903993062675,-0.002827018866810249,0.9970728158950806
A,10570,0.0002731292333919555,1.189983777294401e-05,0.0002612293956190115,0.9980239272117615
A,10556,1.5397728930111043e-05,1.121344666898949e-05,4.1842822611215524e-06,0.9980408549308777
A,10445,4.434205493453192e-06,8.14266400084307e-07,3.6199390933688846e-06,0.7238602042198181
