condition,epoch,image_id,true_label,assigned_label,raw_norm,q_actual,q_neutral,G_actual,G_neutral,Delta_G,p_assigned_actual,p_assigned_neutral,loss_actual,loss_neutral,target_logit_actual,target_logit_neutral,cosine_sim
A,40,2279,12,12,18.14844512939453,-0.5216251611709595,0.0,1.3346893865673337e-05,0.0007062875083647668,-0.0006929406144990935,0.9999995231628418,0.9999697208404541,4.768370445162873e-07,3.0278701160568744e-05,28.411678314208984,24.4143123626709,0.9995570182800293
A,40,2291,12,12,19.50144386291504,-0.3079146444797516,0.0,6.052699245628901e-05,0.0007624744321219623,-0.0007019474396656733,0.999997615814209,0.9999673366546631,2.3841830625315197e-06,3.266281055402942e-05,26.902843475341797,24.31886863708496,0.9986902475357056
A,40,2462,13,13,20.266860961914062,-0.18701452016830444,0.0,0.000161005140398629,0.000898799451533705,-0.000737794311135076,0.9999935626983643,0.999962329864502,6.437280717364047e-06,3.766942609217949e-05,27.15048599243164,25.395647048950195,0.9992209672927856
A,40,2502,13,13,17.963485717773438,-0.5508400797843933,0.0,2.9181899208197137e-06,0.00014941574772819877,-0.00014649755780737905,0.9999998807907104,0.9999935626983643,1.1920928244535389e-07,6.437280717364047e-06,28.579727172851562,24.41471290588379,0.9808779358863831
A,40,2708,13,13,18.299213409423828,-0.49781084060668945,0.0,8.936035555962007e-08,9.663368473411538e-06,-9.574008117851918e-06,1.0,0.9999995231628418,-0.0,4.768370445162873e-07,30.4512996673584,26.17283058166504,0.6670092344284058
A,40,2592,13,13,18.089488983154297,-0.5309374928474426,0.0,3.0588141726184404e-06,0.00016178948862943798,-0.00015873067445681954,0.9999998807907104,0.9999939203262329,1.1920928244535389e-07,6.079655122448457e-06,29.195167541503906,24.999971389770508,0.9712811708450317
A,40,2799,14,14,20.97579002380371,-0.07503689080476761,0.0,4.64852164441254e-05,0.00010107310663443059,-5.458789019030519e-05,0.9999984502792358,0.9999964237213135,1.5497195136049413e-06,3.576272320060525e-06,26.966962814331055,26.197439193725586,0.9999301433563232
A,40,2728,14,14,18.479402542114258,-0.46934938430786133,0.0,2.8076772650820203e-05,0.0006145357619971037,-0.0005864589893462835,0.9999988079071045,0.9999710321426392,1.1920922133867862e-06,2.8967437174287625e-05,25.439144134521484,22.205568313598633,0.9947718977928162
A,40,2722,14,14,19.053495407104492,-0.37866953015327454,0.0,2.748326733126305e-05,0.0004501282819546759,-0.00042264501462341286,0.9999988079071045,0.9999792575836182,1.1920922133867862e-06,2.074220174108632e-05,26.540069580078125,23.587614059448242,0.9922902584075928
A,40,2764,14,14,20.116409301757812,-0.2107788473367691,0.0,2.248828650408541e-06,1.5128927771002054e-05,-1.2880099120593513e-05,0.9999998807907104,0.9999994039535522,1.1920928244535389e-07,5.960462772236497e-07,30.19611930847168,27.94278907775879,0.947035551071167
A,40,2879,15,15,20.666391372680664,-0.12390740215778351,0.0,2.915554887295002e-06,9.45175088418182e-06,-6.536195996886818e-06,0.9999998807907104,0.9999996423721313,1.1920928244535389e-07,3.576278118089249e-07,27.699512481689453,26.437223434448242,0.993861198425293
A,40,2910,15,15,17.519634246826172,-0.6209478974342346,0.0,1.0288403018421377e-06,0.00014906370779499412,-0.00014803486749315198,1.0,0.999993085861206,-0.0,6.9141146923357155e-06,29.085186004638672,24.512956619262695,0.6678313612937927
A,40,2902,15,15,15.285499572753906,-0.9738366603851318,0.0,2.836809289874509e-05,0.0038536323700100183,-0.0038252642771112733,0.9999991655349731,0.9998648166656494,8.344646857949556e-07,0.00013517419574782252,26.925172805786133,21.856935501098633,0.9853386878967285
A,40,2883,15,15,16.51251983642578,-0.7800248861312866,0.0,1.0456187737872824e-05,0.0010193813359364867,-0.001008925148198614,0.9999996423721313,0.9999576807022095,3.576278118089249e-07,4.23184028477408e-05,27.07781982421875,22.4164981842041,0.9971504211425781
A,40,2996,16,16,20.485532760620117,-0.15247459709644318,0.0,4.221786184643861e-06,1.3612631846626755e-05,-9.390845661982894e-06,0.9999997615814209,0.9999992847442627,2.3841855067985307e-07,7.152555099310121e-07,28.229568481445312,26.674043655395508,0.9713600873947144
A,40,3265,16,16,19.228620529174805,-0.35100796818733215,0.0,4.7792975237825885e-05,0.0008478741510771215,-0.0008000811758392956,0.9999982118606567,0.9999645948410034,1.7881377516459906e-06,3.540453326422721e-05,27.374996185302734,24.46169090270996,0.9991841316223145
A,40,3281,16,16,21.35527801513672,-0.015095530077815056,0.0,4.078223355463706e-06,4.321887900005095e-06,-2.4366454454138875e-07,0.9999997615814209,0.9999997615814209,2.3841855067985307e-07,2.3841855067985307e-07,28.21047592163086,28.03584098815918,0.9960930347442627
A,40,2933,16,16,17.821916580200195,-0.5732014179229736,0.0,2.754208617261611e-05,0.001974559621885419,-0.0019470175357128028,0.9999990463256836,0.9999222755432129,9.536738616588991e-07,7.772143726469949e-05,29.006874084472656,24.654829025268555,0.9958556890487671
A,40,3449,17,17,21.09341812133789,-0.05645715072751045,0.0,1.6689002222847193e-05,2.834615770552773e-05,-1.1657155482680537e-05,0.9999991655349731,0.9999984502792358,8.344646857949556e-07,1.5497195136049413e-06,25.77573013305664,25.221765518188477,0.9998968243598938
